Address,Balance
kujira16uts8vy83hf35j8lavcaq8h3tc99nlj587p9v7,105716
kujira1yke9lxurcp5z6hx4688fmfulryjgl7xr08fyu3,1350250
kujira1a2759cy9l453cl8rln8v8jwwvmnmddtq2qwlcx,314012
kujira12863epr48hfa3jej9jwazyl3zpt3c635hm0spp,887951
kujira1dzax5ra9kyrk4ca6d72fyqjnq39d0lshjh8htd,384500
kujira1j5zy6pnrewqfgvha97kq28rc47t45nafd95j85,13237392
kujira1urrnzl3pnmffrda4g5t58dj2t8zfz602xys9ac,688339
kujira1u8nu5l8km6gtpnamdpdhaas39weg7j0g6jdn7q,303543
kujira1xe6v0plr2fjnr7lf7rz4h4nfj7qwlcuvjpff49,53548
kujira1md67d57k7ge28humzqre2jmuvg80rplzr8s607,159560
kujira1uvlv54awun4793ytqhw3lly6s4x04jl8hl49ka,1101642
kujira1al5dtsm022yp8av5dvhgdce2a7aj6zk4xx0hz3,205804
kujira18le45lwjj4wrk52n7n69galduudldz9pyxvy6k,1641681
kujira1n2cldk23ff57mv8xj0k4s6ep2ejj62aq75snrh,423777
kujira1hzcn2lha35m7as5vx2z0q4ykwfh35dg9g28a9s,539797
kujira1amhplgvfcz0w35m6mlfgkwnmf3jz9zpjs2mytu,1305114
kujira17sy77fq0u3fzhatnhkv9jvfc9cgjkfzuy55la9,1379608191
kujira17kj02w0573fll5ezxp90l8n35ccv0tygua4r3h,11066415
kujira13ru2tdm2pr5r6n32jw738a8m9lkwlcdws37yrs,34370
kujira12tk7e4y9pntgpxwcjhurkddx568k90zxeyhdnv,785029
kujira1t3yepjj6wguwzcw9axn8mwgfrfq3c7rgjup29d,247799
kujira1catdrel4j4dwuhuqyet5ns5me2xlukn30qwk8f,2308984
kujira1lfd7kj2edjltj8gymtwa39k0l93m36t4c52d70,1047664
kujira1g7jk2qafmwrhuktn8536udsfkp2zzyl75k95rp,183362
kujira18kxugu3r0nlngzmuvpvtvlz9qln6maqfeectkv,76021
kujira1jjx9ew4t58u5fmls9dvztywe43csqfngfwlwlg,217211
kujira1cgmspxyxft07hx9y90nrgpgnpz8xkmnxtv0k0s,534381
kujira1mfuaku0ft09cmaylq0ztxad8nma7alkw56qtnt,23348
kujira1y0qkye67fuhzp2jq0q8u4vzq5eqzx6rh3g22uq,15416787
kujira1rst0cxszfs6pgpxpw455l6x3g0t8l7yglxvchm,1425397
kujira18tpclnsz7cnat0cv8huky6eelxma7xhjxzvn76,1643832
kujira123kjc4dr4clqt3xvkle3at56zasfcu8mvfpm3x,100396979
kujira1vquurcx4ec3053dag0me2k6lrtgu762tatway5,1012158
kujira1v62mqeskp6dngxxrh689fjmqa6typd8jh4jsh5,304000
kujira1au342rrkx42rzz32k3tj23e9h76fxqfwh8ma8h,203396
kujira1q3lfpakjz2gvt23x2t4sy6r0s4vfky8k6zy05m,18362
kujira127zqasc3xhf604wa4j27lpksq3grckq6mlh0jq,900768
kujira1wj6z94n6ac2klr55zhk5luj5jpjl277e6guvvj,1067639
kujira1h5j3uz2vpc4q769nt2ysvt4qeh7dmfrh3tm8rd,182851
kujira1z92ry45hkh3yftyghrdryw4t2ufnamc0u3je42,135025
kujira1x9x3yfq23ws4ks6xs6nkmechqflrj208jlnss9,11796188
kujira1v2anpj64rf6cvv5und847tlwh98x2zxfre49wn,1729151
kujira1dnvk2gmjmlrtq3ds2hg4mj3l0qtc7xu34elw6x,1049124
kujira1sf4seaan22jpwn0cyltqpkuuncwfqfcrjhzxuw,509103
kujira1sd3ut85us67xevz52pqa2eaejsy9h0lyxmka4y,414010
kujira1yehmpqd7l4405s3amyg28kkscg4t9nytvdr0j7,7611081694
kujira136spv6sw6jclgwjhvjqahgfe925fj4chm3hk2r,5586026
kujira1lrdxczj35s4w65z0zstkuzses6ek7ajlszrwwg,61843
kujira1gducfnqcd2tmuxag04ty8smkkjcnafxusu5szt,660371
kujira1vsgzpwl9h6sj5vdmlhc033a99srj0xxugjnjgm,1570058
kujira13c65f53v9c4eqxflz2vjj227ggvpx7yn3kpdw2,2595837
kujira1k6g8m5wklpq0j5cd8sf4hqnu96t6vdh5tazk3m,196728
kujira12etedmdzlhy60yxq2d9pk6mql9azrxym333cqf,853011
kujira1vnx9va68v69mm97nx3car7hg3e23smllgpg8hm,157005
kujira1w4tujvremzw7x2nh6l747tsg4r49rs58tlcech,222122
